ref	formula	pycel	hyperformula	ironcalc	formulas
CSC/csc-at-0-error	=CSC(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
CSC/csc-at-1-radian	=CSC(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.1883951058},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.188395106},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.1883951057781212},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
CSCH/csch-at-0-error	=CSCH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#DIV/0!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
CSCH/csch-at-1	=CSCH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.85091812824},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.850918128},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.8509181282393216},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
CSCH/csch-negative	=CSCH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.85091812824},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.850918128},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.8509181282393216},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
DEGREES/degrees-negative	=DEGREES(-PI())	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-180},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-180},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-180},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
DEGREES/degrees-of-0	=DEGREES(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
DEGREES/degrees-of-pi	=DEGREES(PI())	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":180},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":180},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":180},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":180},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
DEGREES/degrees-of-pi-2	=DEGREES(PI()/2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":90},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":90},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":90},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ERFC.PRECISE/erfc-precise-at-1	=ERFC.PRECISE(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.157299207},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.15729920705028516},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
