ref	formula	pycel	hyperformula	ironcalc	formulas
ISEVEN/iseven-even	=ISEVEN(4)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISEVEN/iseven-negative-even	=ISEVEN(-2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISEVEN/iseven-odd	=ISEVEN(3)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISEVEN/iseven-zero	=ISEVEN(0)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISODD/isodd-even	=ISODD(4)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISODD/isodd-odd	=ISODD(3)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":true},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ISODD/isodd-zero	=ISODD(0)	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"boolean","value":false},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
LCM/lcm-basic	=LCM(4, 6)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
LCM/lcm-coprime	=LCM(3, 5)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":15},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":15},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":15},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":15},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
LCM/lcm-multiple-args	=LCM(2, 3, 4)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":12},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
LCM/lcm-with-one	=LCM(1, 7)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":7},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":7},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":7},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":7},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
MUNIT/munit-zero-error	=MUNIT(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#VALUE!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ODD/odd-negative	=ODD(-1.5)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-3},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-3},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-3},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ODD/odd-of-2	=ODD(2)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ODD/odd-positive-integer	=ODD(3)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ODD/odd-rounds-up	=ODD(1.5)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
RADIANS/radians-of-0	=RADIANS(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
RAND/rand-smoke	=RAND()	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.78551088635},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.215459519},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.526848033247084},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
RANDBETWEEN/randbetween-smoke	=RANDBETWEEN(1, 10)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.535053013864343},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SEC/sec-at-1-radian	=SEC(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.8508157177},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.850815718},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.8508157176809255},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SECH/sech-at-1	=SECH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.64805427366},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.648054274},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.6480542736638855},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SECH/sech-negative	=SECH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.64805427366},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.648054274},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.6480542736638855},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SIN/sin-at-0	=SIN(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SIN/sin-at-1-radian	=SIN(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.8414709848078965},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.84147098481},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.841470985},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.8414709848078965},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SIN/sin-at-pi	=SIN(PI())	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.2246467991473532e-16},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.2310891488999997e-15},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.22465e-16},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.2246467991473532e-16},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SIN/sin-at-pi-2	=SIN(PI()/2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SIN/sin-negative	=SIN(-PI()/2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SINH/sinh-at-0	=SINH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SINH/sinh-at-1	=SINH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.1752011936438014},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.1752011936},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.175201194},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.1752011936438014},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SINH/sinh-negative	=SINH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.1752011936},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.175201194},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.1752011936438014},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SQRTPI/sqrtpi-of-1	=SQRTPI(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.7724538509},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.772453851},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.7724538509055159},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
SQRTPI/sqrtpi-of-2	=SQRTPI(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.5066282746},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.506628275},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.5066282746310002},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TAN/tan-at-0	=TAN(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TAN/tan-at-1-radian	=TAN(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.557407724654902},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5574077247},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.557407725},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.557407724654902},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TAN/tan-at-pi	=TAN(PI())	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.2246467991473532e-16},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-3.2310891488999997e-15},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.22465e-16},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.2246467991473532e-16},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TAN/tan-negative	=TAN(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.5574077247},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.557407725},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-1.557407724654902},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TANH/tanh-at-0	=TANH(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TANH/tanh-at-1	=TANH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7615941559557649},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.76159415596},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.761594156},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7615941559557649},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
TANH/tanh-negative	=TANH(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.76159415596},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.761594156},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.7615941559557649},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
